Scenario,CITY,COUNTY,COUNTY_FIPS,END_USE,FACILITY_ID,FINAL_NAICS_CODE,MECS_NAICS,REPORTING_YEAR,STATE,UNIT_NAME,UNIT_TYPE,Lat,Lon,LLType,geometry,FacilityName,Industry,Company,Thermal MWh/hr,Temp_degC,Temp_Req,Gen,Built,GEN_Opt,Modules_Built,NP_Capacity,NG_Cost (counterfactual),NPV_FOAK,NPV_NOAK,NPV_FOAK (per MWt),NPV_NOAK (per MWt)
6_Base,TEXAS CITY,GALVESTON COUNTY,48167,CHP and/or Cogeneration Process,1000022,325199,325199,2015,TX,GP-Htr,OCS (Other combustion source),29.42807,-94.995369,Facility,POINT (-10574836.10479913 3430243.394612808),ISP TECHNOLOGIES TEXAS CITY PLANT,Other Basic Organic Chemicals,ASHLAND INC,1528.678276,220,300,iPWR,TRUE,iPWR,1,1500,4360469341,-494878693,-388500036.6,-329919.1286,-259000.0244
6_Base,KROTZ SPRINGS,SAINT LANDRY,22097,Process Heating,1007622,324110,324110,2015,LA,EQT089,"TODF (Thermal oxidizer, direct fired, no heat recovery)",30.526504,-91.748383,Facility,POINT (-10213383.27666624 3571408.14728136),ALON REFINING KROTZ SPRINGS INC,Petroleum Refineries,"AlonUSA Energy, Inc.",2071.420982,220,300,iPWR,TRUE,iPWR,1,1500,4360469341,-494878693,-334348155.9,-329919.1286,-222898.7706
6_Base,FRANKLIN,Isle of Wight,51093,CHP and/or Cogeneration Process,1000258,322121,322121,2015,VA,910 CT/HRSG,"CCCT (CC (Turbine, combined cycle))",36.6803,-76.9128,Facility,POINT (-8561893.731484892 4394637.923241165),International Paper-Franklin Mill,"Paper Mills, except Newsprint",INTERNATIONAL PAPER CO,1769.328986,260,300,iPWR,TRUE,iPWR,1,1500,4442624051,-438336413.8,-438336413.8,-292224.2759,-292224.2759
8_Base,KINGSPORT,Sullivan,47163,Conventional Boiler Use,1000232,325211,325211,2015,TN,CS325-31,"PCWD (Pulverized coal, wall-fired, dry bottom)",36.5192,-82.535,Facility,POINT (-9187754.172622833 4372299.689667945),Eastman Chemical Company,Plastics Materials and Resins,Eastman Chemical Company,910.2417008,260,300,PBR-HTGR,TRUE,PBR-HTGR,4,800,3159199325,13567963.69,138661847.6,16959.95461,173327.3096
8_Base,Cleburne,JOHNSON,48251,Conventional Boiler Use,1002395,327410,327410,2015,TX,GP-2,OCS (Other combustion source),32.246389,-97.550828,Facility,POINT (-10859308.49942221 3795696.644175465),Texas Lime Company,Lime,US LIME & MINERALS INC,963.1207033,260,300,PBR-HTGR,TRUE,PBR-HTGR,5,1000,3841780652,-44122267.34,-44122267.34,-44122.26734,-44122.26734
8_Base,Bennettsville,Marlboro,45069,Conventional Boiler Use,1000324,322110,322110,2015,SC,Recovery Boiler,0,34.605,-79.785,Facility,POINT (-8881625.572941331 4110330.944968552),Marlboro Paper Mill,Pulp Mills,Domtar Corporation,219.8998204,300,300,PBR-HTGR,TRUE,PBR-HTGR,1,200,804966031.5,13829998.97,58491630.91,69149.99486,292458.1545
8_Base,BAILEYVILLE,WASHINGTON,23029,Conventional Boiler Use,1001889,322110,322110,2015,ME,Unit 15,0,45.156894,-67.402006,Facility,POINT (-7503156.986365169 5646255.146149667),WOODLAND PULP LLC,Pulp Mills,INTERNATIONAL GRAND INVESTMENT CORP,213.0706687,300,300,PBR-HTGR,TRUE,PBR-HTGR,1,200,804966031.5,13829998.97,58491630.91,69149.99486,292458.1545
8_Base,COOSA PINES,Talladega,1121,Conventional Boiler Use,1000305,322110,322110,2015,AL,Z032,0,33.3278,-86.3583,Facility,POINT (-9613361.981772758 3938895.198155631),Resolute Forest Product - Coosa Pines Operation,Pulp Mills,Resolute FP US Inc.,221.5141046,300,300,PBR-HTGR,TRUE,PBR-HTGR,1,200,804966031.5,13829998.97,58491630.91,69149.99486,292458.1545
8_Base,LEWISTON,NEZ PERCE COUNTY,16069,Conventional Boiler Use,1004705,322110,322110,2015,ID,Number 4 Lime Kiln,0,46.42783,-116.968249,Facility,POINT (-13020845.91766083 5849176.360467911),CLEARWATER PAPER CORP,Pulp Mills,CLEARWATER PAPER CORP,230.005464,300,300,PBR-HTGR,TRUE,PBR-HTGR,1,200,804966031.5,13829998.97,58491630.91,69149.99486,292458.1545
8_Base,MARION,TURNER,46125,CHP and/or Cogeneration Process,1004765,325193,325193,2015,SD,CP-1,OCS (Other combustion source),43.432639,-97.26088,Facility,POINT (-10827031.63570569 5378057.48502261),NUGEN ENERGY LLC,Ethyl Alcohol,REX AMERICAN RESOURCES,273.7813554,282.4852903,300,PBR-HTGR,TRUE,PBR-HTGR,1,200,798069779.4,9083712.251,56960789.98,45418.56125,284803.9499
