CITY,STATE,latitude,longitude
Rensselaer,IN,40.9367045,-87.1508562
ARTHUR,IA,42.3353,-95.3475647
LAMBERTON,MN,44.2310677,-95.2641639
CHARLES CITY,IA,43.0662177,-92.6794258
Ceres,CA,37.5949316,-120.9577098
Mead,NE,41.2266214,-96.4892592
GRANITE FALLS,MN,44.8099575,-95.5455752
CASSELTON,ND,46.900529,-97.2112
ROCHELLE,IL,41.9239178,-89.0687074
PLAINVIEW,NE,42.349618,-97.7934793
CLAREMONT,MN,44.0441674,-92.9976958
Pelham,GA,31.1276849,-84.1518466
MARION,IN,40.5583739,-85.6591442
SHELL ROCK,IA,42.7109868,-92.5822798
ADAMS,NE,40.5125798,-98.5148588
MONROE,WI,43.9416755,-90.6397264
BENSON,MN,45.3149604,-95.6000349
UNION CITY,IN,40.201991,-84.8091287
AURORA,NE,40.866888,-98.004508
COLWICH,KS,37.7791785,-97.5364351
REDFIELD,SD,44.87581,-98.518706
Cloverdale,IN,39.5147682,-86.7938969
MINA,SD,45.4383539,-98.7560313
STEAMBOAT ROCK,IA,42.4084956,-93.0670252
CRAIG,MO,40.1947194,-95.3710903
NEVADA,IA,42.0227653,-93.4524342
CARO,MI,43.491132,-83.396897
YUMA,CO,40.0163487,-102.458253
Coshocton,OH,40.2905684,-81.9271441
MARCUS,IA,42.82471,-95.8079104
CORNING,IA,40.9901625,-94.7347831
BOARDMAN,OR,45.839855,-119.700583
Rosholt,SD,45.866626,-96.731463
BURLEY,ID,42.5357428,-113.792794
MADRID,NE,40.850206,-101.5437395
ATKINSON,NE,42.5313912,-98.9781525
Fort Dodge,IA,42.5044017,-94.1910044
TRENTON,NE,40.1757537,-101.0131604
FRIESLAND,WI,43.5885954,-89.067335
Cambridge,NE,40.2820371,-100.1660494
LEIPSIC,OH,41.0983847,-83.9846655
LOGANSPORT,IN,40.7542698,-86.362515
HUDSON,SD,43.130193,-96.454281
BRIDGEPORT,NE,41.6666399,-103.0976578
BLOOMINGBURG,OH,39.6050616,-83.3954726
LENA,IL,42.3804975,-89.8220784
HEREFORD,TX,34.8245521,-102.398778
FERGUS FALLS,MN,46.283015,-96.077558
COON RAPIDS,IA,41.8709122,-94.6787232
Madera,CA,37.1716264,-119.7737991
Ashton,IA,43.3112893,-95.7909473
Hereford,TX,34.8245521,-102.398778
LADDONIA,MO,39.24254,-91.6454385
Pratt,KS,37.6280602,-98.7485305
MITCHELL,SD,43.70953,-98.025379
Buffalo Lake,MN,44.7371841,-94.6169333
SCOTLAND,SD,43.149715,-97.717567
HASTINGS,NE,40.5861322,-98.3898883
ALBERT CITY,IA,42.78172,-94.9483487
MINDEN,NE,40.4985164,-98.9476854
EMMETSBURG,IA,43.1108076,-94.6781897
GARNETT,KS,38.2805772,-95.2419192
HANLONTOWN,IA,43.2812864,-93.378786
TUSCOLA,IL,39.7998585,-88.2884552
STERLING,CO,40.6255415,-103.207709
Hopewell,VA,37.3043154,-77.2872001
LINDEN,IN,40.1880944,-86.9038959
GOLDFIELD,IA,42.7353424,-93.920444
RUSSELL,KS,38.8970508,-98.7980433
FORT DODGE,IA,42.5044017,-94.1910044
JEWELL,IA,42.3069254,-93.6402159
OAKLEY,KS,39.126385,-100.855611
JANESVILLE,MN,44.116078,-93.7080044
MASON CITY,IA,43.1524574,-93.2017941
HARTLEY,IA,43.1800215,-95.4769635
HURON,SD,44.36308,-98.214388
Fairmont,NE,40.6361358,-97.585282
NECEDAH,WI,44.0254284,-90.07213
PHILLIPSBURG,KS,39.756121,-99.323985
Hankinson,ND,46.069681,-96.901748
RIGA,MI,41.8092159,-83.8249404
LITTLE FALLS,MN,45.9763545,-94.3625024
LIBERAL,KS,37.0430812,-100.920999
LAKE CRYSTAL,MN,44.1057973,-94.2188494
Marion,OH,40.5885271,-83.1895249
ALEXANDRIA,IN,40.2635468,-85.6744815
PLAINVIEW,TX,34.1847936,-101.706841
Watertown,SD,44.899211,-97.115289
STANLEY,WI,44.9601286,-90.9375004
MADISON,IL,38.811063,-89.9017112
WELCOME,MN,43.6671139,-94.6187863
SIOUX CENTER,IA,43.0796879,-96.1756497
WINDSOR,CO,40.4774818,-104.901361
COUNCIL BLUFFS,IA,41.258841,-95.8519484
SOUTH BEND,IN,41.6833813,-86.2500066
Vicksburg,MS,32.3528055,-90.8777342
MARICOPA,AZ,33.34883,-112.49123
CAMBRIA,WI,43.542207,-89.1073356
GOWRIE,IA,42.2804998,-94.2908304
STOCKTON,CA,37.9577016,-121.290779
OSHKOSH,WI,44.0206919,-88.5408574
Jefferson,WI,43.0224668,-88.7673031
FAIRMONT,MN,43.6521775,-94.4610832
WOOD RIVER,NE,40.821054,-98.600621
CHANCELLOR,SD,43.372118,-96.987179
SAUGET,IL,38.590186,-90.1692755
ALBERT LEA,MN,43.6480127,-93.3682656
HOPKINSVILLE,KY,36.8657651,-87.4889532
Hugoton,KS,37.1753025,-101.349602
WINTHROP,MN,44.5430195,-94.3663674
Groton,SD,45.447313,-98.098779
ALBION,NE,41.6929347,-98.0012269
Macon,MO,39.8416253,-92.5675118
MT. VERNON,IN,37.9318018,-87.8947848
Levelland,TX,33.5871311,-102.377698
BINGHAM LAKE,MN,43.9066239,-95.0463791
GARDEN CITY,KS,37.9716898,-100.8726618
HERON LAKE,MN,43.7949593,-95.3202763
NORTH MANCHESTER,IN,41.0006005,-85.768597
Aurora,NE,40.866888,-98.004508
PRESTON,MN,43.6702423,-92.0832157
WINNEBAGO,MN,43.767716,-94.1659
RICHARDTON,ND,46.8838957,-102.3157292
YORK,NE,40.871617,-97.6001401
BIG STONE CITY,SD,45.291632,-96.462834
GALVA,IA,42.5069289,-95.4172221
SUPERIOR,IA,43.4313171,-94.9464393
ATCHISON,KS,39.545816,-95.3326052
DYERSVILLE,IA,42.4844602,-91.1211058
BLUFFTON,IN,40.7386579,-85.1716368
ANNAWAN,IL,41.3972573,-89.9045518
CARROLLTON,MO,39.3582412,-93.4965428
GALVA,IL,41.1660682,-90.0455662
ORD,NE,41.6033379,-98.9262134
LAKE ODESSA,MI,42.7847564,-85.1383367
DENISON,IA,42.0177718,-95.3553286
RIVES,TN,36.3556205,-89.048121
MEDINA,NY,43.2202828,-78.3866445
LAKOTA,IA,43.3773933,-94.09346
SHENANDOAH,IA,40.7655468,-95.3723535
CENTRAL CITY,NE,41.1158475,-98.0017249
MARYSVILLE,MI,42.9108647,-82.4861734
WEST BURLINGTON,IA,40.825083,-91.1565496
GIBSON CITY,IL,40.4653118,-88.3758875
JACKSON,NE,42.448296,-96.5655308
ST ANSGAR (MONA),IA,,
Emmetsburg,IA,43.1108076,-94.6781897
